index,Winddir,Windspeed,Gust_Factor,visability,Condition,cloudCover,ceiling,temp,dew,alt,Conditions
383,0,0,0,10,0,5,75,1,-8,3051,P
384,20,4,0,10,0,0,0,-13,-18,3006,P
385,0,0,0,10,0,0,0,0,-7,3054,P
386,110,7,0,10,0,0,0,1,-4,3015,P
387,90,3,0,10,0,6,28,-24,-28,2997,P
388,130,6,0,10,0,7,60,2,-4,3012,P
389,110,8,0,10,0,0,0,-1,-6,3019,P
390,140,4,0,5,1,7,16,3,2,3006,P
391,130,7,0,10,0,6,35,2,1,3000,P
392,130,9,0,5,1,7,4,3,3,3001,P
393,60,8,0,6,0,0,0,-1,-5,3018,P
394,0,0,0,2,1.25,7,3,13,12,2962,P
395,0,0,0,10,0,0,0,-7,-12,3026,P
396,60,10,0,10,0,7,25,-3,-5,3010,P
397,80,5,0,5,10,2,0,0,-2,3007,P
398,60,10,0,10,0,7,25,-3,-5,3010,P
399,100,7,0,10,0,0,0,6,-1,2979,P
400,160,9,0,10,0,7,65,4,-2,3013,P
401,150,6,0,10,0,7,32,-1,-3,3014,P
402,90,3,0,9,0,7,85,-1,-3,3035,P
403,130,3,0,10,0,0,0,-1,-6,3035,P
404,150,6,0,10,0,7,32,-1,-3,3014,P
405,120,7,0,10,0,0,0,-1,-4,3020,P
406,150,6,0,10,0,7,32,-1,-3,3014,P
407,190,3,0,10,0,0,0,-9,-17,3026,P
408,50,3,0,10,0,0,0,-11,-18,3028,P
409,320,3,0,10,0,0,0,0,-2,3028,P
410,140,8,0,10,0,0,0,0,-6,3015,P
411,160,4,0,1,3.25,4,3,0,0,3015,P
412,130,8,0,10,0,7,79,3,-4,3025,P
413,120,7,0,10,0,0,0,-1,-4,3020,P
414,140,5,0,10,1.25,4,48,4,0,3015,P
415,130,6,0,10,0,0,0,2,-7,3019,P
416,160,7,0,10,0,0,0,-16,-21,3009,P
417,160,6,0,10,0,7,60,-17,-19,3006,P
418,0,0,0,10,0,0,0,-14,-24,3005,P
419,80,6,0,10,0,6,19,-6,-8,3013,P
420,320,10,0,2,3.25,6,28,-19,-24,3034,P
421,70,6,0,4,1,7,4,2,2,2995,P
422,160,7,0,10,0,0,0,-16,-21,3009,P
423,170,9,0,10,0,0,0,-13,-18,2992,P
424,90,11,0,8,0,0,0,-1,-3,3004,P
425,100,13,0,6,11,7,15,1,-2,3002,P
426,0,0,0,10,1.25,7,47,3,0,3013,P
427,0,0,0,10,0,7,79,3,-8,3052,P
428,120,6,0,10,0,0,0,-1,-10,3045,P
429,140,8,0,10,0,0,0,-21,-24,3005,P
430,270,4,0,6,3.25,6,11,-8,-11,2965,P
431,240,12,0,1,3.25,8,18,-16,-21,2978,P
432,80,12,0,3,10,7,11,-1,-2,3005,P
433,0,0,0,10,0,0,0,3,-6,3056,P
434,120,18,26,10,0,0,0,-6,-9,3001,P
435,0,0,0,10,0,0,0,0,-8,3056,P
436,120,17,0,10,0,0,0,-3,-8,3018,P
437,130,4,0,10,0,0,0,-18,-28,2989,P
